"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"","UNITED KINGDOM","56683835.0","748199.0","2886072.0","3460562.0","3682753.0","4456140.0","4744240.0","4223872.0","3783011.0","4157124.0","3553988.0","3133113.0","3019456.0","3059389.0","3068995.0","2647341.0","2372619.0","1834917.0","1135827.0","716217.0"
"","GREAT BRITAIN","55110334.0","720598.0","2779371.0","3330085.0","3552350.0","4312375.0","4611026.0","4107486.0","3682786.0","4058974.0","3461695.0","3053750.0","2944994.0","2985905.0","2997804.0","2585451.0","2319066.0","1794451.0","1112235.0","699932.0"
"","ENGLAND & WALES","49998574.0","654250.0","2522392.0","3017045.0","3209196.0","3889449.0","4171060.0","3713170.0","3338368.0","3698424.0","3157260.0","2767270.0","2663369.0","2705115.0","2724643.0","2354938.0","2114718.0","1637618.0","1017074.0","643215.0"
"","ENGLAND","47187643.0","617616.0","2379718.0","2845150.0","3024272.0","3672750.0","3950047.0","3520954.0","3161280.0","3495791.0","2981872.0","2611166.0","2511405.0","2549176.0","2559065.0","2209540.0","1989610.0","1542740.0","958276.0","607215.0"
"","WALES","2810931.0","36634.0","142674.0","171895.0","184924.0","216699.0","221013.0","192216.0","177088.0","202633.0","175388.0","156104.0","151964.0","155939.0","165578.0","145398.0","125108.0","94878.0","58798.0","36000.0"
"","SCOTLAND","5111760.0","66348.0","256979.0","313040.0","343154.0","422926.0","439966.0","394316.0","344418.0","360550.0","304435.0","286480.0","281625.0","280790.0","273161.0","230513.0","204348.0","156833.0","95161.0","56717.0"
"","NORTHERN IRELAND","1573501.0","27601.0","106701.0","130477.0","130403.0","143765.0","133214.0","116386.0","100225.0","98150.0","92293.0","79363.0","74462.0","73484.0","71191.0","61890.0","53553.0","40466.0","23592.0","16285.0"
"A","NORTH EAST","2594213.0","34488.0","133972.0","160774.0","175274.0","197775.0","210711.0","192498.0","172935.0","186444.0","155904.0","144892.0","144270.0","149777.0","150760.0","124805.0","104986.0","78587.0","47450.0","27911.0"
"B","NORTH WEST","6832680.0","92764.0","356829.0","420964.0","464330.0","531983.0","556049.0","494703.0","442479.0","493104.0","423070.0","381500.0","368119.0","376123.0","377426.0","322294.0","288968.0","222987.0","136517.0","82471.0"
"D","YORKSHIRE AND THE HUMBER","4883634.0","64415.0","247331.0","295552.0","327571.0","392178.0","402163.0","355694.0","319081.0","354418.0","300891.0","270523.0","261708.0","266187.0","269810.0","231586.0","207230.0","158774.0","98125.0","60397.0"
