"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"","UNITED KINGDOM","29264824.0","380086.0","1444457.0","1759547.0","1651406.0","2066074.0","2325523.0","2222766.0","1941996.0","1925448.0","1996456.0","1595967.0","1525661.0","1528131.0","1538909.0","1561922.0","1258369.0","1143419.0","803690.0","594997.0"
"","GREAT BRITAIN","28453164.0","366706.0","1392136.0","1694969.0","1590048.0","1998884.0","2260814.0","2162940.0","1889334.0","1877045.0","1947858.0","1553730.0","1487033.0","1489527.0","1501172.0","1525638.0","1228958.0","1117598.0","786526.0","582248.0"
"","ENGLAND & WALES","25820043.0","334607.0","1266785.0","1537970.0","1438378.0","1805669.0","2048790.0","1962801.0","1710807.0","1708526.0","1779334.0","1406889.0","1342482.0","1343914.0","1358835.0","1387184.0","1117512.0","1018170.0","717847.0","533543.0"
"","ENGLAND","24355254.0","315901.0","1194445.0","1450016.0","1354805.0","1703310.0","1941911.0","1858267.0","1621602.0","1613565.0","1681171.0","1326304.0","1265407.0","1265854.0","1275041.0","1301969.0","1048662.0","958063.0","675749.0","503212.0"
"","WALES","1464789.0","18706.0","72340.0","87954.0","83573.0","102359.0","106879.0","104534.0","89205.0","94961.0","98163.0","80585.0","77075.0","78060.0","83794.0","85215.0","68850.0","60107.0","42098.0","30331.0"
"","SCOTLAND","2633121.0","32099.0","125351.0","156999.0","151670.0","193215.0","212024.0","200139.0","178527.0","168519.0","168524.0","146841.0","144551.0","145613.0","142337.0","138454.0","111446.0","99428.0","68679.0","48705.0"
"","NORTHERN IRELAND","811660.0","13380.0","52321.0","64578.0","61358.0","67190.0","64709.0","59826.0","52662.0","48403.0","48598.0","42237.0","38628.0","38604.0","37737.0","36284.0","29411.0","25821.0","17164.0","12749.0"
"A","NORTH EAST","1330268.0","16839.0","66433.0","81626.0","77313.0","92514.0","102650.0","100163.0","88362.0","86139.0","87784.0","71642.0","72157.0","73958.0","74771.0","74572.0","56545.0","49321.0","33957.0","23522.0"
"B","NORTH WEST","3519561.0","46733.0","178376.0","214816.0","203759.0","247810.0","272444.0","261016.0","225851.0","225657.0","236551.0","190735.0","185087.0","186266.0","188362.0","191725.0","154217.0","140979.0","98714.0","70463.0"
"D","YORKSHIRE AND THE HUMBER","2512790.0","33044.0","124426.0","150316.0","143802.0","182007.0","198933.0","186129.0","162618.0","162658.0","168923.0","135670.0","132344.0","132801.0","133750.0","136396.0","109456.0","99213.0","69553.0","50751.0"
"E","EAST MIDLANDS","2011444.0","25531.0","99157.0","122512.0","118318.0","141882.0","156546.0","150480.0","134275.0","136595.0","143513.0","111710.0","104592.0","104927.0","105653.0","106856.0","83711.0","75074.0","52408.0","37704.0"
"F","WEST MIDLANDS","2650097.0","35086.0","134408.0","164214.0","156928.0","192737.0","209397.0","197256.0","172041.0","172940.0","185085.0","148931.0","140825.0","139968.0","140518.0","142224.0","110136.0","96187.0","65746.0","45470.0"
"G","EAST","2580372.0","33214.0","127289.0","159202.0","151364.0","177414.0","194680.0","192520.0","175273.0","180182.0","187764.0","143185.0","134029.0","132708.0","133110.0","134737.0","107796.0","97198.0","68091.0","50616.0"
"H","LONDON","3487697.0","48783.0","172935.0","194977.0","162418.0","235870.0","342474.0","320903.0","254266.0","230316.0","228503.0","180283.0","173448.0","171278.0","165504.0","167918.0","139982.0","131916.0","92598.0","73325.0"
"J","SOUTH EAST","3872256.0","48442.0","183886.0","228512.0","213430.0","270813.0","292188.0","283771.0","257900.0","263761.0","278386.0","215194.0","199838.0","196938.0","198507.0","205288.0","169498.0","159085.0","116424.0","90395.0"
"K","SOUTH WEST","2390769.0","28229.0","107535.0","133841.0","127473.0","162263.0","172599.0","166029.0","151016.0","155317.0","164662.0","128954.0","123087.0","127010.0","134866.0","142253.0","117321.0","109090.0","78258.0","60966.0"
"W","WALES","1464789.0","18706.0","72340.0","87954.0","83573.0","102359.0","106879.0","104534.0","89205.0","94961.0","98163.0","80585.0","77075.0","78060.0","83794.0","85215.0","68850.0","60107.0","42098.0","30331.0"
"00EB","HARTLEPOOL UA","45981.0","669.0","2502.0","3017.0","2791.0","3201.0","3369.0","3535.0","3069.0","2920.0","2930.0","2504.0","2626.0","2626.0","2563.0","2473.0","1785.0","1565.0","1105.0","731.0"
