"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"","UNITED KINGDOM","27651624.0","398127.0","1513396.0","1846396.0","1736987.0","2152710.0","2364333.0","2231933.0","1947684.0","1919446.0","2003123.0","1600416.0","1521440.0","1472672.0","1415878.0","1310446.0","926196.0","716675.0","388100.0","185666.0"
"","GREAT BRITAIN","26877844.0","384139.0","1457843.0","1778984.0","1672472.0","2082541.0","2296308.0","2171618.0","1894774.0","1870477.0","1955735.0","1559406.0","1484549.0","1438307.0","1383228.0","1281048.0","904689.0","700615.0","379762.0","181349.0"
"","ENGLAND & WALES","24433525.0","350008.0","1326964.0","1613941.0","1513635.0","1883773.0","2078889.0","1968646.0","1717583.0","1703201.0","1788307.0","1418260.0","1348236.0","1306018.0","1258460.0","1171528.0","827596.0","641902.0","349105.0","167473.0"
"","ENGLAND","23057088.0","330453.0","1251159.0","1521310.0","1425443.0","1777068.0","1970785.0","1865385.0","1627682.0","1608859.0","1690110.0","1336502.0","1271134.0","1230247.0","1181553.0","1099794.0","776935.0","604910.0","329738.0","158021.0"
"","WALES","1376437.0","19555.0","75805.0","92631.0","88192.0","106705.0","108104.0","103261.0","89901.0","94342.0","98197.0","81758.0","77102.0","75771.0","76907.0","71734.0","50661.0","36992.0","19367.0","9452.0"
"","SCOTLAND","2444319.0","34131.0","130879.0","165043.0","158837.0","198768.0","217419.0","202972.0","177191.0","167276.0","167428.0","141146.0","136313.0","132289.0","124768.0","109520.0","77093.0","58713.0","30657.0","13876.0"
"","NORTHERN IRELAND","773780.0","13988.0","55553.0","67412.0","64515.0","70169.0","68025.0","60315.0","52910.0","48969.0","47388.0","41010.0","36891.0","34365.0","32650.0","29398.0","21507.0","16060.0","8338.0","4317.0"
"A","NORTH EAST","1252017.0","17528.0","69527.0","85573.0","82235.0","93912.0","101830.0","98812.0","88284.0","86439.0","88547.0","71667.0","71220.0","71162.0","69437.0","62681.0","40909.0","29783.0","15458.0","7013.0"
"B","NORTH WEST","3292081.0","48736.0","186813.0","225277.0","216644.0","253448.0","272254.0","257799.0","225937.0","225376.0","238546.0","192124.0","185249.0","179826.0","171977.0","157168.0","108748.0","82787.0","43448.0","19924.0"
"D","YORKSHIRE AND THE HUMBER","2375921.0","34189.0","130324.0","157670.0","153005.0","187771.0","201200.0","187187.0","164588.0","163356.0","171361.0","136820.0","131322.0","127341.0","124339.0","115701.0","80318.0","61322.0","32851.0","15256.0"
"E","EAST MIDLANDS","1939264.0","27034.0","103690.0","128691.0","124308.0","149759.0","159718.0","150730.0","135022.0","137267.0","146877.0","114719.0","106973.0","103663.0","101213.0","94866.0","65202.0","49855.0","27100.0","12577.0"
"F","WEST MIDLANDS","2553908.0","36874.0","141805.0","172486.0","166606.0","202204.0","212363.0","198275.0","174877.0","174777.0","189200.0","152995.0","144558.0","140508.0","134058.0","122180.0","82800.0","61397.0","31905.0","14040.0"
"G","EAST","2479323.0","34740.0","133030.0","166238.0","158054.0","189376.0","202362.0","195170.0","175411.0","178013.0","188570.0","145927.0","136594.0","130787.0","124322.0","117673.0","84239.0","65548.0","35960.0","17309.0"
"H","LONDON","3241639.0","51118.0","180719.0","203139.0","171865.0","226663.0","329041.0","313995.0","251705.0","226150.0","223960.0","177015.0","172297.0","167815.0","157997.0","139600.0","101008.0","81654.0","44274.0","21624.0"
"J","SOUTH EAST","3678298.0","50714.0","192436.0","241266.0","219570.0","298119.0","310065.0","293790.0","260830.0","263654.0","278563.0","215903.0","200926.0","189818.0","178181.0","170750.0","125330.0","101327.0","57960.0","29096.0"
"K","SOUTH WEST","2244637.0","29520.0","112815.0","140970.0","133156.0","175816.0","181952.0","169627.0","151028.0","153827.0","164486.0","129332.0","121995.0","119327.0","120029.0","119175.0","88381.0","71237.0","40782.0","21182.0"
"W","WALES","1376437.0","19555.0","75805.0","92631.0","88192.0","106705.0","108104.0","103261.0","89901.0","94342.0","98197.0","81758.0","77102.0","75771.0","76907.0","71734.0","50661.0","36992.0","19367.0","9452.0"
"00EB","HARTLEPOOL UA","43223.0","684.0","2612.0","3080.0","3002.0","3183.0","3290.0","3272.0","3005.0","2911.0","2993.0","2486.0","2586.0","2572.0","2458.0","2112.0","1310.0","942.0","495.0","230.0"
"00EC","MIDDLESBROUGH UA","70583.0","1218.0","4585.0","5504.0","4864.0","5953.0","6313.0","5632.0","4964.0","4592.0","4484.0","3684.0","3690.0","3823.0","3715.0","3228.0","1950.0","1344.0","708.0","332.0"
"00EE","REDCAR & CLEVELAND UA","71073.0","994.0","4174.0","5094.0","5196.0","5294.0","5615.0","5511.0","4734.0","4797.0","5333.0","4385.0","4169.0","3940.0","3682.0","3375.0","2202.0","1533.0","724.0","321.0"
"00EF","STOCKTON-ON-TEES UA","85578.0","1327.0","5250.0","6494.0","6134.0","5780.0","6735.0","7462.0","6483.0","6219.0","6211.0","4879.0","4821.0","4764.0","4383.0","3655.0","2263.0","1566.0","803.0","349.0"
"00EH","DARLINGTON UA","47736.0","660.0","2545.0","3293.0","3119.0","3278.0","3422.0","3739.0","3403.0","3430.0","3468.0","2854.0","2750.0","2649.0","2658.0","2524.0","1662.0","1245.0","696.0","341.0"
"00ET","HALTON UA","61345.0","1057.0","4055.0","4936.0","4718.0","4855.0","5054.0","4888.0","4469.0","4493.0","4532.0","3377.0","3129.0","3008.0","2808.0","2472.0","1614.0","1148.0","517.0","215.0"
"00EU","WARRINGTON UA","89678.0","1318.0","5080.0","6273.0","6020.0","6713.0","7478.0","7648.0","6547.0","6418.0","6816.0","5525.0","5127.0","4745.0","4206.0","3877.0","2577.0","1943.0","969.0","398.0"
"00EX","BLACKBURN WITH DARWEN UA","65985.0","1189.0","4367.0","5276.0","4973.0","5325.0","5015.0","5140.0","4515.0","4488.0","4587.0","3587.0","3401.0","3325.0","3185.0","2871.0","1982.0","1600.0","818.0","341.0"
"00EY","BLACKPOOL UA","69567.0","997.0","3297.0","3707.0","3818.0","4769.0","5251.0","5040.0","4171.0","4432.0","5003.0","4262.0","4280.0","4264.0","4270.0","4247.0","3120.0","2518.0","1315.0","806.0"
"00FA","KINGSTON UPON HULL, CITY OF UA","125263.0","2060.0","7404.0","8431.0","8353.0","10896.0","12382.0","10359.0","8591.0","8048.0","7875.0","6258.0","6467.0","6457.0","6439.0","5988.0","4068.0","3016.0","1498.0","673.0"
"00FB","EAST RIDING OF YORKSHIRE UA","138984.0","1637.0","6833.0","8982.0","9490.0","10113.0","9095.0","9306.0","9426.0","9922.0","11016.0","8926.0","8474.0","8154.0","7722.0","7195.0","5279.0","4088.0","2232.0","1094.0"
"00FC","NORTH EAST LINCOLNSHIRE UA","78031.0","1280.0","4692.0","5371.0","5479.0","5892.0","6068.0","6185.0","5353.0","5277.0","5540.0","4519.0","4402.0","4258.0","4133.0","3808.0","2554.0","1853.0","945.0","422.0"
"00FD","NORTH LINCOLNSHIRE UA","74641.0","1066.0","4046.0","5219.0","5174.0","5462.0","5590.0","5624.0","5064.0","5330.0","5644.0","4581.0","4259.0","4176.0","4083.0","3683.0","2432.0","1818.0","988.0","402.0"
"00FF","YORK UA","82762.0","1098.0","4234.0","4969.0","4726.0","7085.0","7225.0","6864.0","5835.0","5800.0","5969.0","4740.0","4468.0","4342.0","4279.0","4054.0","2882.0","2311.0","1275.0","606.0"
"00FK","DERBY UA","106717.0","1600.0","6133.0","7288.0","7046.0","8182.0","9471.0","8733.0","7186.0","6795.0","7093.0","5766.0","5698.0","5884.0","5797.0","5444.0","3699.0","2784.0","1474.0","644.0"
"00FN","LEICESTER UA","136255.0","2337.0","8987.0","10088.0","8399.0","11779.0","13903.0","11635.0","10129.0","8428.0","8025.0","6351.0","6278.0","6498.0","6678.0","6172.0","4255.0","3419.0","1973.0","921.0"
"00FP","RUTLAND UA","17389.0","200.0","769.0","1157.0","928.0","2091.0","1472.0","1394.0","1224.0","1288.0","1376.0","1049.0","963.0","818.0","751.0","708.0","453.0","382.0","228.0","138.0"
"00FY","NOTTINGHAM UA","135180.0","2158.0","7782.0","8261.0","7452.0","12847.0","16206.0","11615.0","9021.0","7803.0","7843.0","6455.0","6587.0","7017.0","7076.0","6683.0","4480.0","3389.0","1713.0","792.0"
"00GA","HEREFORDSHIRE UA","77365.0","1013.0","3875.0","4685.0","4825.0","5901.0","5526.0","5692.0","5135.0","5412.0","5770.0","4629.0","4343.0","4365.0","4281.0","4242.0","3090.0","2478.0","1370.0","733.0"
"00GF","TELFORD AND WREKIN UA","67026.0","1003.0","4008.0","5064.0","4905.0","5659.0","5744.0","5243.0","4901.0","4925.0","5241.0","4178.0","3549.0","3161.0","2814.0","2560.0","1804.0","1319.0","647.0","301.0"
"00GL","STOKE-ON-TRENT UA","121198.0","1872.0","6784.0","7904.0","7573.0","9227.0","10416.0","9941.0","8457.0","8166.0","8458.0","6720.0","6524.0","6827.0","7024.0","6403.0","4062.0","2875.0","1391.0","574.0"
"00HA","BATH & NORTH EAST SOMERSET UA","79766.0","920.0","3779.0","4639.0","4420.0","7013.0","7043.0","6059.0","5270.0","5381.0","5707.0","4607.0","4387.0","4408.0","4320.0","4241.0","3026.0","2486.0","1312.0","748.0"
"00HB","BRISTOL, CITY OF UA","189122.0","2845.0","10036.0","11595.0","9664.0","15320.0","20250.0","16658.0","13623.0","12420.0","12723.0","9880.0","9496.0","9550.0","9605.0","9205.0","6723.0","5192.0","2829.0","1508.0"
