,Region,Agegroup,Sex,Year,Rate
3,NORTH EAST,UNDER 25,Male,1974-01-01 00:00:00,0.0
4,NORTH EAST,25-34,Male,1974-01-01 00:00:00,0.0
6,NORTH EAST,35-44,Male,1974-01-01 00:00:00,0.5446623093681917
9,NORTH EAST,45-54,Male,1974-01-01 00:00:00,0.486854917234664
12,NORTH EAST,55-64,Male,1974-01-01 00:00:00,4.898958971218616
15,NORTH EAST,65-74,Male,1974-01-01 00:00:00,5.071851225697379
18,NORTH EAST,75-84,Male,1974-01-01 00:00:00,17.8117048346056
21,NORTH EAST,85+,Male,1974-01-01 00:00:00,40.54054054054054
195,NORTH EAST,UNDER 25,Male,1975-01-01 00:00:00,0.0
196,NORTH EAST,25-34,Male,1975-01-01 00:00:00,0.0
198,NORTH EAST,35-44,Male,1975-01-01 00:00:00,0.0
201,NORTH EAST,45-54,Male,1975-01-01 00:00:00,0.0
204,NORTH EAST,55-64,Male,1975-01-01 00:00:00,1.199040767386091
207,NORTH EAST,65-74,Male,1975-01-01 00:00:00,7.512520868113522
210,NORTH EAST,75-84,Male,1975-01-01 00:00:00,10.075566750629724
213,NORTH EAST,85+,Male,1975-01-01 00:00:00,13.698630136986303
387,NORTH EAST,UNDER 25,Male,1976-01-01 00:00:00,0.0
388,NORTH EAST,25-34,Male,1976-01-01 00:00:00,0.0
390,NORTH EAST,35-44,Male,1976-01-01 00:00:00,0.5567928730512248
393,NORTH EAST,45-54,Male,1976-01-01 00:00:00,1.529051987767584
396,NORTH EAST,55-64,Male,1976-01-01 00:00:00,2.937720329024677
399,NORTH EAST,65-74,Male,1976-01-01 00:00:00,3.316749585406302
402,NORTH EAST,75-84,Male,1976-01-01 00:00:00,12.254901960784311
405,NORTH EAST,85+,Male,1976-01-01 00:00:00,13.157894736842104
579,NORTH EAST,UNDER 25,Male,1977-01-01 00:00:00,0.0
580,NORTH EAST,25-34,Male,1977-01-01 00:00:00,0.0
582,NORTH EAST,35-44,Male,1977-01-01 00:00:00,0.0
585,NORTH EAST,45-54,Male,1977-01-01 00:00:00,2.0746887966804977
588,NORTH EAST,55-64,Male,1977-01-01 00:00:00,2.324230098779779
591,NORTH EAST,65-74,Male,1977-01-01 00:00:00,8.223684210526315
594,NORTH EAST,75-84,Male,1977-01-01 00:00:00,4.750593824228028
597,NORTH EAST,85+,Male,1977-01-01 00:00:00,13.513513513513516
771,NORTH EAST,UNDER 25,Male,1978-01-01 00:00:00,0.16818028927009754
772,NORTH EAST,25-34,Male,1978-01-01 00:00:00,0.4591368227731864
774,NORTH EAST,35-44,Male,1978-01-01 00:00:00,0.0
777,NORTH EAST,45-54,Male,1978-01-01 00:00:00,1.5873015873015872
780,NORTH EAST,55-64,Male,1978-01-01 00:00:00,4.050925925925926
783,NORTH EAST,65-74,Male,1978-01-01 00:00:00,7.364975450081833
786,NORTH EAST,75-84,Male,1978-01-01 00:00:00,4.651162790697674
789,NORTH EAST,85+,Male,1978-01-01 00:00:00,0.0
963,NORTH EAST,UNDER 25,Male,1979-01-01 00:00:00,0.0
964,NORTH EAST,25-34,Male,1979-01-01 00:00:00,0.0
966,NORTH EAST,35-44,Male,1979-01-01 00:00:00,0.0
969,NORTH EAST,45-54,Male,1979-01-01 00:00:00,1.6137708445400754
972,NORTH EAST,55-64,Male,1979-01-01 00:00:00,3.4762456546929315
975,NORTH EAST,65-74,Male,1979-01-01 00:00:00,13.061224489795917
978,NORTH EAST,75-84,Male,1979-01-01 00:00:00,15.801354401805868
981,NORTH EAST,85+,Male,1979-01-01 00:00:00,13.513513513513516
1155,NORTH EAST,UNDER 25,Male,1980-01-01 00:00:00,0.0
1156,NORTH EAST,25-34,Male,1980-01-01 00:00:00,0.0
1158,NORTH EAST,35-44,Male,1980-01-01 00:00:00,1.0922992900054616
1161,NORTH EAST,45-54,Male,1980-01-01 00:00:00,1.0922992900054616
1164,NORTH EAST,55-64,Male,1980-01-01 00:00:00,2.8901734104046244
1167,NORTH EAST,65-74,Male,1980-01-01 00:00:00,8.979591836734693
1170,NORTH EAST,75-84,Male,1980-01-01 00:00:00,19.650655021834062
1173,NORTH EAST,85+,Male,1980-01-01 00:00:00,43.478260869565226
